1,"Gunter Hermann  *et al.*  `Phys. Rev. A <https://link.aps.org/doi/10.1103/PhysRevA.89.052504>`__ **89**, 7 (2014)"
2,"Jhon Fredy Perez-Torres  `J. Phys. Chem. A <https://doi.org/10.1021/acs.jpca.5b00907>`__ **119**, 2895--2901 (2015)"
3,"Tatiana Gomez  *et al.*  `Molecules <https://doi.org/10.3390/molecules200813830>`__ **20**, 13830--13853 (2015)"
4,"Gunter Hermann  *et al.*  `J. Phys. Chem. C <https://doi.org/10.1021/acs.jpcc.5b08606>`__ **119**, 25606--25614 (2015)"
5,"Matthias Berg  *et al.*  `Mol. Phys. <https://doi.org/10.1080/00268976.2015.1122843>`__ **114**, 1356--1364 (2015)"
6,"Vincent Pohl  *et al.*  `Phys. Rev. A <https://link.aps.org/doi/10.1103/PhysRevA.93.012504>`__ **93**, 10 (2016)"
7,"Gunter Hermann  *et al.*  `J. Phys. Chem. A <https://doi.org/10.1021/acs.jpca.6b01948>`__ **120**, 5360--5369 (2016)"
8,"Efthymios I. Ioannidis  *et al.*  `J. Comput. Chem. <https://doi.org/10.1002/jcc.24437>`__ **37**, 2106--2117 (2016)"
9,"Somayeh Pirhadi  *et al.*  `J. Mol. Graph. Model. <https://doi.org/10.1016/j.jmgm.2016.07.008>`__ **69**, 127--143 (2016)"
10,"Beate Paulus  *et al.*  `Phys. Rev. A <https://link.aps.org/doi/10.1103/PhysRevA.94.053423>`__ **94**, 15 (2016)"
11,"Gunter Hermann  *et al.*  `J. Chem. Phys. <https://doi.org/10.1063/1.4966260>`__ **145**, 174704 (2016)"
12,"Vincent Pohl  *et al.*  `J. Phys. Chem. C <https://doi.org/10.1021/acs.jpcc.6b09682>`__ **120**, 28808--28819 (2016)"
13,"Dongming Jia  *et al.*  `Chem. Phys. <https://doi.org/10.1016/j.chemphys.2016.09.021>`__ **482**, 146--159 (2017)"
14,"Karim Elhadj Merabti  *et al.*  `Phys. Rev. A <https://link.aps.org/doi/10.1103/PhysRevA.95.022508>`__ **95**, 8 (2017)"
15,"Vincent Pohl  *et al.*  `J. Comput. Chem. <https://doi.org/10.1002/jcc.24792>`__ **38**, 1515--1527 (2017)"
16,"Jalal Z. A. Laloo  *et al.*  `J. Comput. Aided Mol. Des. <https://doi.org/10.1007/s10822-017-0031-8>`__ **31**, 667--673 (2017)"
17,"Dennis J. Diestler  *et al.*  `J. Phys. Chem. A <https://doi.org/10.1021/acs.jpca.7b04714>`__ **121**, 5332--5340 (2017)"
18,"Vincent Pohl  *et al.*  `arXiv preprint <https://arxiv.org/abs/1707.07635>`__ arXiv:1707.07635 (2017)"
19,"Gunter Hermann  *et al.*  `arXiv preprint <https://arxiv.org/abs/1707.01419>`__ arXiv:1707.01419 (2017)"
20,"Gunter Hermann  *et al.*  `J. Comput. Chem. <https://doi.org/10.1002/jcc.24896>`__ (2017)"
21,"Gunter Hermann  *et al.*  `Chem. Phys. Lett. <https://doi.org/10.1016/j.cplett.2017.01.030>`__ **683**, 553--558 (2017)"
